UIS.NIRA.1,UIS.XSPENDP.FDPUB.FNS,BAR.PRM.SCHL,BAR.SEC.SCHL,BAR.TER.SCHL,BAR.TOT.SCHL,BAR.NOED.15UP.ZS,BAR.PRM.CMPT.15UP.ZS,BAR.PRM.ICMP.15UP.ZS,BAR.SEC.CMPT.15UP.ZS,BAR.SEC.ICMP.15UP.ZS,BAR.TER.CMPT.15UP.ZS,BAR.TER.ICMP.15UP.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SL.TLF.TOTL.IN,SP.POP.GROW,SI.POV.GINI
99.9576569,69.5909271,5.952,4.568,0.836,11.35666667,0,10.35,11.94,37.28,64.49,13.67,23.57,11.54292965,28.04873085,5.555230141,79.95999908,47.99000168,71.90000153,8865486,0.512923101,27.8
97.8718872,69.5468521,5.952,4.568,0.836,11.35666667,0,10.35,11.94,37.28,64.49,13.67,23.57,11.76500988,29.05567932,5.098340034,79.70999908,47.59999847,70.79000092,8849838,0.466428782,27.8
95.9725266,68.4081268,5.952,4.568,0.836,11.35666667,0,10.35,11.94,37.28,64.49,13.67,23.57,11.62662029,28.78741074,4.899909973,80.05999756,47.63000107,71.29000092,8962756,0.370055035,27.6
95.9725266,69.4786911,5.952,4.568,0.836,11.35666667,0,10.35,11.94,37.28,64.49,13.67,23.57,12.08611012,28.93989944,5.285840034,80.98000336,46.81000137,70.11000061,8989556,0.294820793,28.1
88.97019958,67.09266667,5.62,3.48,0.6,9.7,0.76,12.7,23.73,36.59,56.25,10.76,19.26,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.970188879,31.3
88.97019958,67.09266667,5.62,3.48,0.6,9.7,0.76,12.7,23.73,36.59,56.25,10.76,19.26,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,3.380293537,31.3
91.38710022,67.09266667,5.62,3.48,0.6,9.7,0.76,12.7,23.73,36.59,56.25,10.76,19.26,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.838146263,31.3
91.38710022,67.09266667,5.62,3.48,0.6,9.7,0.76,12.7,23.73,36.59,56.25,10.76,19.26,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.528816914,31.3
90.41368103,67.09266667,5.62,3.48,0.6,9.7,0.76,12.7,23.73,36.59,56.25,10.76,19.26,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,2.531220259,31.3
96.96217346,67.09266667,5.75,4.12,0.65,10.52,1.07,6.56,12.75,45.71,65.46,11.6,20.72,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.231185888,31.3
97.39370728,67.09266667,5.75,4.12,0.65,10.52,1.07,6.56,12.75,45.71,65.46,11.6,20.72,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.00265826,31.3
99.46563721,67.09266667,5.75,4.12,0.65,10.52,1.07,6.56,12.75,45.71,65.46,11.6,20.72,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.12667268,31.3
99.26766205,67.09266667,5.75,4.12,0.65,10.52,1.07,6.56,12.75,45.71,65.46,11.6,20.72,13.68523158,24.75316048,6.014609814,85.826,62.696,80.98798,10076001.88,1.162885259,31.3
92.20313263,67.09266667,5.75,4.12,0.65,10.52,1.07,6.56,12.75,45.71,65.46,11.6,20.72,13.68523158,24.03426933,5.892380238,85.826,62.696,80.98798,10076001.88,1.08064227,31.3
90.15827942,67.09266667,5.87,4.61,0.73,11.2,0.8,3.2,6.1,51.82,69.9,13.05,23.2,13.68523158,23.1767292,5.682199955,85.826,62.696,80.98798,10076001.88,1.21894271,31.3
89.86061096,67.09266667,5.87,4.61,0.73,11.2,0.8,3.2,6.1,51.82,69.9,13.05,23.2,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.586852569,31.3
89.65795898,67.09266667,5.87,4.61,0.73,11.2,0.8,3.2,6.1,51.82,69.9,13.05,23.2,13.68523158,21.69845009,5.484869957,85.826,62.696,80.98798,10076001.88,1.667535733,31.6
95.92887878,67.09266667,5.87,4.61,0.73,11.2,0.8,3.2,6.1,51.82,69.9,13.05,23.2,13.68523158,31.67267036,5.360229969,85.826,62.696,80.98798,10076001.88,1.250548264,31.9
93.32781982,67.09266667,5.87,4.61,0.73,11.2,0.8,3.2,6.1,51.82,69.9,13.05,23.2,13.68523158,26.93811741,5.143452963,85.826,62.696,80.98798,10076001.88,1.132221845,32.2
